County,Postion,Name,Physical Address,Zip Code,Mailing Address,County Email Addresses,Phone ,Fax,Primary Email ,Secondary Email
ANDERSON COUNTY,Elections Administrator,Casey Brown,"703 N. Mallard St., Ste 116 Palestine 75801",75801,"703 N. Mallard St., Ste 116 Palestine 75801",County Email Address,(903) 723-7438,(903) 723-1223,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
ANDREWS COUNTY,Elections Administrator,Bobi Parker,"215 NW 1st St. Ste. 139-A Andrews, TX 79714",79714,"P.O. Box 7, Andrews 79714",County Email Address,(432) 524-1463,(432) 524-1451,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
ANGELINA COUNTY,Elections Administrator,Terri Jordan,"606 E. Lufkin Ave Lufkin, TX 75901",75901,"P.O. Box 1343, Lufkin  75902-1343",County Email Address,(936) 634-7390,(936) 671-5186,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
ARANSAS COUNTY,Elections Administrator,Kevin A. Stroud,"602 East Concho St., Rockport, Texas 78382",78382,"602 East Concho, Rockport 78382",County Email Address,(361) 729-7431,(361) 790-0177,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
ARCHER COUNTY,Elections Administrator,Christie Mooney,"100 S. Center St.         Archer City, TX 76351",76351,"P.O. Box 428, Archer City 76351",County Email Address,(940) 574-2645,(940) 574-2655,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
ARMSTRONG COUNTY,Elections Administrator,Tamara Froggatt,"101 Trice St., 
Claude, TX 79019",79019,"P.O. Box 189, 
Claude 79019",County Email Address,(806) 410-1297,806-553-5981,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
ATASCOSA COUNTY,Elections Administrator,Cathy Seiter,"914 Main St. Ste. 115, Jourdanton, Texas 78026",78026,"914 North Main, Suite 115, Jourdanton 78026",County Email Address,(830) 769-1472,(830) 769-1215,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
AUSTIN COUNTY,Tax Assessor-Collector,Kim Rinn,"804 E. Wendt St., Bellville 77418-2840",-2840,"804 E. Wendt St., Bellville 77418-2840",County Email Address,(979) 865-8633,(979) 865-0183,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
BAILEY COUNTY,County Clerk,Irene Espinoza,"300 South First St., Ste. 200, Muleshoe 79347",79347,"300 South First St., Ste. 200, Muleshoe 79347",County Email Address,(806) 272-3165,(806) 272-3076,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
BANDERA COUNTY,Tax Assessor-Collector,Andrea Jankoski,"403 12th St.       Bandara, TX  78003",78003,"P.O. Box 1882, Bandera 78003",County Email Address,(830) 796-8146,(830) 796-3321,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
BASTROP COUNTY,Elections Administrator,Kristin Miles,"804 Pecan, Bastrop 78602",78602,"804 Pecan, Bastrop 78602",County Email Address,(512) 581-7160,(512) 581-4260,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
BAYLOR COUNTY,Elections Administrator,Beth Hrncirik,"101 S. Washington, Seymour 76380",76380,"101 S. Washington, Seymour 76380",County Email Address,940-889-4410,(940) 889-4300,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
BEE COUNTY,Election Administrator,Laura Warnix,"107 S St. Mary's St., PO Drawer B, Beeville 78104",78104,"107 S St. Mary's St., P.O. Drawer B, Beeville 78104",County Email Address,(361) 621-1519,(361) 492-5993,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
BELL COUNTY,Elections Administrator,Desi Roberts,"550 East 2nd Ave. Belton, TX  76513",76513,P.O. Box 1629 Belton 76513,County Email Address,(254) 933-5774,(254) 933-6754 ,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
BEXAR COUNTY,Elections Administrator,Michele Carew,"1103 S. Frio, Ste. 100, San Antonio, TX 78207",78207,"1103 S. Frio, Ste. 100, San Antonio, TX 78207",County Email Address,(210) 335-8683,(210) 335-0850,Submit your Application for Ballot By Mail (ABBM) via email,Submit your Federal Postcard Application (FPCA) via email
BLANCO COUNTY,Elections Administrator,Rosemary Adame,"101 E. Cypress, Ste. 101, Johnson City, TX 78636",78636,"P.O. Box 13, Johnson City 78636",County Email Address,(830) 868-7168,,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
BORDEN COUNTY,District & County Clerk,Jana Underwood,"P.O. Box 124, Gail 79738",79738,"117 E. Wassom Gail, TX  79738",County Email Address,(806) 756-4312,(806) 756-4324,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
BOSQUE COUNTY,Elections Administrator,Ashley Rupp,"104 W. Morgan Meridian, TX  76665",76665,"P.O. Box 411 Meridian, TX 76665",County Email Address,(254) 435-6650,(254) 435-2311,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
BOWIE COUNTY,Elections Administrator,Pat McCoy,"710 James Bowie Dr, New Boston 75570",75570,"710 James Bowie Dr, New Boston 75570",County Email Address,(903) 628-6810,(903) 628-6811,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
BRAZORIA COUNTY,County Clerk,Joyce Hudman,"1524 E. Mulberry, Angleton, Texas 77515",77515,"237 E. Locust St., Ste 102 Angleton, TX 77515",County Email Address,979-864-1074,(979) 864-1011,Submit your Application for Ballot By Mail via email    ,Submit your Federal Postcard Application via email    
BRAZOS COUNTY,Elections Administrator,Trudy Hancock,"300 E. Wm J Bryan Pkwy, Ste 100, Bryan 77803",77803,"300 E. Wm J Bryan Pkwy, Ste 100, Bryan 77803",County Email Address,(979) 361-5770,(979) 361-5779,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
BREWSTER COUNTY,Elections Administrator,Cynthia Cox ,"203 N 7th Alpine, Tx 79830",79830,"107 W. Ave E #3 Alpine, TX 79830                  ",County Email Address,(432) 837-6230,(432) 837-4430,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
BRISCOE COUNTY,District & County Clerk,Amy Fuston,"415 Main Street Silverton, TX  79257",79257,"P.O. Box 555, Silverton 79257",County Email Address,(806) 823-2131 ext. 2,(806) 823-2076,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
BROOKS COUNTY,Elections Administrator,Anna M. Garcia,"203 Calixto Mora Ave., Falfurrias 78355",78355,"PO Box 714, Falfurrias, Texas 78355",County Email Address,(361) 325-5670 ext. 369,(512) 895-9733,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
BROWN COUNTY,Elections Administrator,Brenda Arp,"613 N. Fisk, Suite 200  Brownwood, TX  76801",76801,"P.O. Box 700, Brownwood 76804-9985",County Email Address,(325) 646-4333,(325) 643-6317,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
BURLESON COUNTY,Elections Administrator,Patty Vychopen,"100 West Buck Street, Suite 107, Caldwell 77836",77836,"100 West Buck Street, Suite 107, Caldwell 77836",County Email Address,(979) 567-2000,(979) 567-0789,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
BURNET COUNTY,Elections Administrator,Michael Evans,"106 W. Washington St., Burnet, 78611",78611,"220 S. Pierce St., Burnet, 78611",County Email Address,(512) 755-5495,(512) 715-5287,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
CALDWELL COUNTY,Elections Administrator,Devante Coe,"1403 Blackjack Suite A, Lockhart 78644",78644,"1403 Blackjack Suite A, Lockhart 78644",County Email Address,(512) 668-4347,(512) 398-1821,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
CALHOUN COUNTY,Elections Administrator,Mary Ann Orta,"211 S. Ann St. #103, Port Lavaca 77979",77979,"211 S. Ann St. #103, Port Lavaca 77979",County Email Address,(361) 553-4440,(361) 553-4443,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
CALLAHAN COUNTY,County Clerk,Nicole Crocker,"100 W. 4th St., Ste. 104 Baird 79504",79504,"100 W. 4th St., Ste. 104 Baird 79504",County Email Address,(325) 854-5815,(325) 854-5816,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
CAMERON COUNTY,Elections Administrator,Remi Garza,"1050 E. Madison St., Brownsville, Texas 78520",78520,"PO Box 3587 Brownsville, Tx 78523",County Email Address,(956) 544-0809,(956) 550-7298,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
CAMP COUNTY,County Clerk,Sandra Knight,"126 Church Street, Room 102, Pittsburg 75686",75686,"126 Church Street, Room 102, Pittsburg 75686",County Email Address,(903) 856-2731,(903) 856-6112,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
CARSON COUNTY,Elections Administrator ,Shelley Green ,"501 Main Street, Panhandle  TX  79068",79068,"P.O. Box 752, Panhandle 79068",County Email Address,(806) 641-1759,(806) 537-3623,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
CASS COUNTY,County Clerk,Amy L. Varnell,"100 E. Houston St., Linden, Texas 75563",75563,"P.O. Box 449, Linden 75563",County Email Address,(903) 756-5071,(903) 756-8057,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
CASTRO COUNTY,Elections Administrator ,Teresa Sims ,"100 East Bedford, Room 113, Dimmitt 79027",79027,"100 East Bedford, Room 113, Dimmitt 79027",County Email Address,(806) 647-2208,,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
CHAMBERS COUNTY,County Clerk,Heather H. Hawthorne,"404 Washington Ave  Anahuac, TX  77514",77514,"P.O. Box 728, Anahuac 77514",County Email Address,(409) 267-2418,(409) 267-8405,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
CHEROKEE COUNTY,Elections Administrator,Kandace Herring,"138 W. 5th Street, Rusk 75785",75785,"138 W. 5th Street, Rusk 75785",County Email Address,(903) 683-8409,(903) 683-8419,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
CHILDRESS COUNTY,Elections Administrator,Jennifer Jones ,"100 Avenue E. NW, #13, Childress 79201",79201,"Courthouse, Box 13, Childress 79201",County Email Address,(940) 937-6144,(940) 905-1010,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
CLAY COUNTY,Elections Administrator,Val McClain," 214 N. Main, Henrietta 76365",76365,"214 N. Main, Henrietta 76365 ",County Email Address,(940) 264-8683,(940) 264-4160,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
COCHRAN COUNTY,Elections Administrator,Cheryl Butler,"200-A W. Taylor, Morton, Texas 79346",79346,"100 N. Main, Room 201, Morton 79346",County Email Address,(806) 266-5181,(806) 266-9027,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
COKE COUNTY,District & County Clerk,Carolla Orcutt,"13 E. 7th Street, Robert Lee 76945",76945,"13 E. 7th Street, Robert Lee 76945",County Email Address,(325) 453-2631, (325) 453-2157,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
COLEMAN COUNTY,County Clerk,Stacey Mendoza,"100 W. Liveoak St., Ste 105, Coleman 76834",76834,"100 W. Liveoak St., Ste 105, Coleman 76834",County Email Address,(325) 625-2889,(325) 625-1326,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
COLLIN COUNTY,Elections Administrator,Kaleb Breaux,"2010 Redbud Blvd., Suite 102, McKinney 75069",75069,"2010 Redbud Blvd., Suite 102, McKinney 75069",County Email Address,(972) 547-1990,(972) 547-1914,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
COLLINGSWORTH COUNTY,District & County Clerk,Jackie Johnson,"800 W. Ave., Box 10, Wellington 79095",79095,"800 W. Ave., Box 10, Wellington 79095",County Email Address,(806) 447-2408,(806) 447-2409,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
COLORADO COUNTY,Elections Administrator ,Rebecka LaCourse,"1117 Travis Street, Columbus 78934",78934,"1117 Travis Street, Columbus 78934",County Email Address,(979) 732-6860,(979) 732-2952,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
COMAL COUNTY,County Clerk,Bobbie Koepp,"396 N. Seguin Ave., New Braunfels 78130",78130,"396 N. Seguin Ave., New Braunfels 78130",County Email Address,(830) 221-1352,(830) 608-2013,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
COMANCHE COUNTY,Elections Administrator,Summer S. Olvera,"215 N Houston St., Comanche TX 76442",76442,"215 N Houston St., Comanche TX 76442",County Email Address,325-356-4005,FAX: (325) 356-4006 ,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
CONCHO COUNTY,District and County Clerk ,Amber Hall ,"152 N. Roberts Ave Paint Rock, TX 76866",76866,P.O. Box 11 Paint Rock 76866,County Email Address,lips,(325) 732-2040,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
COOKE COUNTY,County Clerk,Pam Harrison,"101 S. Dixon, Gainesville 76240",76240,"101 S. Dixon, Gainesville 76240",County Email Address,(940) 668-5420,(940) 668-5486,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
CORYELL COUNTY,Tax Assessor-Collector,Justin K. Carothers,"800 E. Main St., Suite B Gatesville, TX 76528",76528,"P.O. Box 6, Gatesville 76528",County Email Address,(254) 248-3175,(254) 865-2519,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
COTTLE COUNTY,District and County Clerk,Vickey Wederski,"815 Richards, Paducah, Texas 79248",79248,"P.O. Box 717,Paducah 79248",County Email Address,(806) 492-3823,(806) 492-2625,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
CRANE COUNTY,District & County Clerk,Andrea Flores,"201 W. 6th St, #110 Crane, TX 79731",79731,"P.O. Box 578, Crane 79731",County Email Address,(432) 558-3581,(432) 558-1148,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
CROCKETT COUNTY,District & County Clerk,Ninfa Preddy,"909 Avenue D  Ozona, TX  76943",76943,"P.O. Drawer C, Ozona 76943",County Email Address,(325) 392-2022,(325) 392-3742,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
CROSBY COUNTY,County Clerk,Tammy Kaye Marshall,"201 West Aspen, Ste. 102, Crosbyton 79322",79322,"201 West Aspen, Ste. 102, Crosbyton 79322",County Email Address,(806) 675-2334,(806) 675-2980,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
CULBERSON COUNTY,District & County Clerk,Tina Urias,"300 La Caverna Street  Van Horn, TX  79855",79855,"Box 158, Van Horn 79855",County Email Address,(432) 283-2058,(432) 283-2091,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
DALLAM COUNTY,District & County Clerk,Terri Banks,"414 Denver Ave #201  Dalhart, TX  79022",79022,"P.O. Box 1352, Dalhart 79022",County Email Address,(806) 244-4751,(806) 244-3751,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
DALLAS COUNTY,Elections Administrator,Paul Adams,"1520 Round Table Drive, Dallas 75247",75247,"1520 Round Table Drive, Dallas 75247",County Email Address,(469)627-8683,(214) 819-6301,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
DAWSON COUNTY,Elections Administrator,Ashley Rodriguez,"116 Austin Ave,
 Lamesa, TX 79331",79331,"P.O. Box 1268, Lamesa 79331",County Email Address,(806) 806-3323,N/A,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
DEAF SMITH COUNTY,County Clerk,Rachel Garman,"235 E. 3rd Street, Rm. 203, Hereford 79045",79045,"235 E. 3rd Street, Rm. 203, Hereford 79045",County Email Address,(806) 363-7077,FAX: (806) 363-7023,Submit your Application for Ballot By Mail or Federal Postcard Application via email, 
DELTA COUNTY,District & County Clerk,Grace Crabb,"200 W. Dallas Ave, Cooper 75432",75432,"200 W. Dallas Ave, Cooper 75432",County Email Address,(903) 395-9302,(903) 395-4260,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
DENTON COUNTY,Elections Administrator,Frank Phillips,"701 Kimberly Dr. A100 Denton, TX 76208",76208,"P.O. Box 1720, Denton 76202",County Email Address,(940) 349-3200,(940) 349-3201,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
DE WITT COUNTY,Elections Administrator,Deidra McCollum ,"115 N. Gonzales Street, Suite A  Cuero, TX  77954",77954,"115 N. Gonzales Street, Suite A  Cuero, TX  77954",County Email Address,(361) 275-0859,(361) 275-0860,n,
DICKENS COUNTY,District & County Clerk,Danay Carnes,"508 Crow Street, Dickens, TX  79229",79229,"P.O. Box 120, Dickens 79229",County Email Address,(806) 623-5531,(806) 623-5240,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
DIMMIT COUNTY,County Clerk,Claudia McDaniel,"Courthouse, 103 N. 5th St., Carrizo Springs 78834",78834,"Courthouse, 103 N. 5th St., Carrizo Springs 78834",County Email Address,(830) 876-2323 ext. 5,,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
DONLEY COUNTY,District & County Clerk,Vicky Tunnell,"220 W. 4th Clarendon, TX  79226",79226,"P.O. Drawer U, Clarendon 79226",County Email Address,(806) 874-3436,(806) 874-3351,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
DUVAL COUNTY, Elections Administrator,Bobby Gonzalez,"400 East Gravis, Basement Level, San Diego, Texas 78384",78384,"P.O. Box 308, San Diego 78384",County Email Address,(361)-279-6278,(361) 279-6297,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
